local:zero-cofactor-pruning	Remove a block with zero collected companion cofactors
ex:future-private-input-comparison	Future ordinary interfaces and MOD frontiers can make current goal-input comparisons nonliteral even though ordinary MP comparisons remain literal
thm:partial-MOD-frontier-cuts	Covered argument roots in both MOD antecedent occurrences can be removed after a positive-OR MP join while retaining a nonconstant residual scalar
ex:partial-MOD-goal-essential	Satisfiable models separate a selected companion image from the old system plus all other goal inputs
lem:maximal-goal-cleanup-schedule	Precomputed maximal-root cleanup outside protected representatives preserves survivor closure and private-family freshness
thm:saturated-goal-input-cleanup	Saturated covered-root removal preserves K0+2pHL even when ordinary MP comparisons require the general 2L copy lemma
ex:goal-cleanup-coverage-gap	Fixed-depth weakening spines can retain arbitrarily many canonical classes outside the maximal-root input-cover rule
lem:weighted-virtual-copy	Weighted prefixes and supplied virtual-companion proofs preserve the 2L PC copy ceiling
obs:pointwise-lift-inactive-regime	A sparse-evaluation union bound gives a sufficient ENS accuracy above the target design degree, where companions are already inactive
thm:assignment-tree-ens-refutation	An exhaustive one-level affine-input prefix tree refutes any Boolean-unsatisfiable degree-delta base through max(4h+1,delta+2h)
cor:PHP-exponential-family-control	Ordinary PHP has accuracy-h one-level ENS refutations through 4h+1 with exponentially many blocks, excluding family-count-independent elimination
cor:goal-replay-specialized-ancestors	Supplied goal-relative input-image proofs permit constant cleanup with retained specialized ancestors through max(D,C)
ex:modified-ancestor-replay	A covered inner block can disappear while a nonconstant ancestor ENS block and the named goal inputs remain
thm:ancestor-private-cleanup-simulation	Keeping the ancestor closure of planned cuts private integrates covered nonmaximal cleanup with intact copy witnesses at K0+2pHL
cor:modified-forest-PHP-endpoint	The protected final clause family supplies the ordinary-PHP transfer even when other auxiliary blocks are modified
ex:private-modified-forests	Constant-depth conditional MP forests admit nonmaximal cuts and retain private modified ancestors; premature canonical sharing fails
cor:private-constant-propagation	Nonzero constant coordinates and all-zero tuples compose with covered private cuts without increasing the source PC ceiling
ex:alternating-constant-cascades	One goal-relative unit cut triggers alternating zero-product and all-zero-input removals through a nested family
cor:proved-nonzero-input-removal	One supplied PC proof of g_j-c, with c nonzero, removes a coefficient family through max(D,C) while retaining its exact polynomial image
cor:opposite-goal-input-cut	One opposite-signed goal match supplies a 2L nonzero-input witness and fits the ancestor-private source schedule
ex:nonconstant-cut-product-image	A product proved zero under a goal can retain a nonconstant polynomial image that changes its ancestors if falsely collapsed
cor:MOD-goal-aggregate-normalizers	Negative nonzero-residue MOD goals give a fixed nonzero aggregate; positive residue-zero MOD goals give a nonzero aggregate selector at h>=p-1
lem:selector-goal-Booleanity	The selector image 1-s^(p-1) has domain-only NS Booleanity through twice its degree, while the linear goal normalizer can be non-Boolean off the goal
obs:MOD-goal-invalid-residues	A nonzero Boolean vector with sum zero excludes the aggregate-only rule for positive nonzero residues and negative residue zero
lem:MOD-zero-goal-constant-accuracy	Over the free Boolean base with at least p-1 input variables, constant-coefficient normalization under a positive MOD-zero goal requires h>=p-1
thm:goal-normalized-sharp-Booleanity	A compatible retained/unit/projection/product/selector/base-zero portfolio has NS Booleanity through twice each current value degree without discarded goals
lem:portfolio-level-support-Booleanity	Within this portfolio, Booleanity certificates can be restricted to the current polynomial's ENS level support at the same sharp degree
cor:post-goal-input-space-normal-form	A level-ordered degree-preserving pass removes spans containing one and rank-at-most-accuracy blocks, then shares equal remaining spans at each level/accuracy
ex:projection-image-PC-NS-gap	A consistent positive-pebbling base gives a degree-one Boolean projection with PC-three companion-image proofs but NS image degree Omega(N^(1/3))
thm:small-probe-normalization	A supplied PC refutation after zeroing Boolean/field linear probes extracts their selector product through C0+W; a constant/affine realization transfers through max(D,C0+W)
cor:affine-probe-factor-pairs	Two probe factors fit one affine coefficient row when one scalar form is affine in actual variables; all-affine factors need at most ceil(K/2) rows
obs:pebbling-antichain-probes	A nonzero Boolean violation cube forces at least antichain-size-plus-one constant normalizer rows or Boolean/field probe factors, despite PC-three input refutations
ex:small-probe-normalizer-replay	A rank-four F3 tuple has sharp constant/affine row counts three/two; replay exercises an affine coefficient's nonzero field image
lem:unit-annihilator-OR-interface	Supplied annihilators and conditional unit proofs for a, b, c with concatenated input tuples derive c-ab through C+2L when C>=2L
cor:virtual-zero-OR-parent	A supplied input refutation through C0 and child annihilators through Ca,Cb derive ab through max(Ca,Cb,C0+deg(a)+deg(b))
ex:virtual-pebbling-OR-interface	An old-variable PC-three witness supports a virtual zero parent and a PC-nine OR relation while its constant-row normalizer still needs at least five rows
lem:unit-annihilator-copy	Input equality proofs through E and unit/annihilator interfaces give copy agreement through max(E,A*,U*+L,2L)
thm:uniform-interface-copy	One common retained system with interface budgets A*,U* has structural copy proofs through max(A*,U*+L,2L), without an extra formula-depth factor
ex:virtual-copy-final-line-reuse	A linear equality with a PC-three proof supports a PC-three virtual copy proof for a quadratic value, avoiding a whole-proof degree-five estimate
lem:interface-PC-Booleanity	Weighted conditional units give PC Booleanity through max(A*,U*+L,2L) for the current source values
lem:separate-interface-gate-budgets	With input/value degrees at most L, OR relations fit max(A*,U*+2L,3L), including non-OR singleton children
thm:conditional-Boolean-frame-compiler	A fixed Boolean tautology frame with m leaves has a current value proof through max(A*,U*+2L,3L,mL) under one retained-system interface
cor:interface-MP-common-ceiling	Copy agreement and the implication gate relation compose MP through max(Da,Dc,R), with no added height cost while the common retained interfaces remain supplied
lem:virtual-MOD-scalar-relation	Aligning current MOD argument copies gives m-ab-(1-a)c through max(B,(p-1)L), without a prefix-arity factor
thm:conditional-MOD-recursion-compiler	The recorded ten-leaf MOD-recursion frame has a current value proof through max(A*,U*+2L,10L,(p-1)L) under supplied interfaces
cor:recorded-schema-value-compiler	Fixed Boolean frames, recorded MOD recursion/empty axioms, and MP share ceiling max(A*,U*+2L,max(M,10,p-1)L) in one retained system
thm:level-confined-strict-PC-leaves	Interfaces confined to each lower value's structural level give positive input refutations and individual negative input proofs below a recognized axiom boundary through K
ex:pure-disjunct-virtual-interface	The input refutation for A or not A or C uses A's earlier unit witness and ignores the pure C root even if its block shares the outer level
obs:fresh-root-same-level-peers	A fresh accuracy-one PHP root has a PC-eight value proof with assignment-tree peers, but dropping all level-one peers would contradict the base lower bound for n>=16
thm:level-ordered-virtual-axiom-boundaries	Selected recognized positive/negative axiom boundaries receive virtual zero/one values with level-confined witnesses, while other objects remain genuine on rebuilt inputs
cor:virtual-boundary-witness-recurrence	With c=max(M,10,p-1), interface ceilings through level s are at most (c+2s-2)L, giving source value proofs through (c+2d)L
cor:virtual-constant-sharp-Booleanity	Constants/genuine products and literal negation/MOD in this construction retain NS Booleanity through twice each current value degree
thm:virtual-source-PHP-endpoint	The protected new source interpretation yields an exact weak-PHP-plus-ENS PC refutation through (c+2d)L, with polynomial family count and at most d levels
cor:virtual-PHP-residual-normal-form	The new endpoint retains sharp earlier NS input Booleanity and admits the existing same-degree rank/equal-span normal form
obs:source-degree-level-tradeoff	The new height-independent degree and the older signed highest-layer omission belong to different refutation families
cor:affine-basis-row-count	The existing affine-bin rule needs max(r-r_aff,ceil(r/2)) rows for a degree-ordered Boolean basis, preserving original companion and field budgets
cor:merge-first-affine-normal-form	Equal-span classes can supply additional listed affine basis members before packing; survivors have r>2h or r-r_aff>h, with distinct spans excluding one
obs:affine-normalizer-Boolean-degree	Free affine inputs require r<=2h, while one affine plus three disjoint quadratic inputs cannot be normalized at h=2 over pure Boolean domains
ex:mixed-affine-bin-certificates	Exact input/basis maps certify tight mixed-degree packing, merge-first classes, nonzero field images, and nonvacuous mapped NS consequences
thm:global-PHP-row-projection	Eliminating one cell per row by an affine map preserves NS/PC refutation degree when every retained ENS input is projected and base images are certified
lem:pivot-invariant-row-normal-form	Row-pivot choices give inverse affine coordinates, preserving reduced degrees, ranks, span equality, and affine-bin eligibility
prop:balanced-pivot-collision-sparsity	Balanced pivots minimize the stated expanded collision-generator term count, reducing its order from n^4 to n^3 compared with a common pivot column
ex:row-projection-activity-gap	In the consistent row subsystem, a projected companion has old NS/PC proof degree five and new axiom degree three
thm:affine-column-state-normalizer	Arbitrary polynomial inputs in one PHP column admit affine coefficient images preserving every original companion and field degree at any accuracy
cor:column-subset-and-group-normalization	An inconsistent column subset handles arbitrary additional inputs; at most h column groups fit h coefficient rows
lem:column-normalizers-in-row-coordinates	The column algebra embeds degree-preservingly in the row quotient, retaining affine normalizers and their NS image budgets
ex:column-state-certificates	Exact state interpolation handles non-Boolean, nonlinear, inconsistent-subset, and zero-profile inputs
lem:uniform-degree-two-affine-rigidity	For n>=3 over every field, the affine part of I2 is exactly the row span and C2=I2, also with extra free variables
thm:odd-affine-Booleanity-classification	For odd p and n>=4, degree-two affine Booleanity is equivalent modulo rows to a partial-column indicator or complement
cor:binary-full-affine-span-packing	Over F2, take the whole affine intersection of a literal input span before extending a degree-adapted Boolean basis; packing uses its intrinsic affine dimension
ex:affine-Booleanity-exhaustive-slices	Exact degree-two spaces match the classification on exhaustive one-row/two-row slices and gauged column indicators
thm:stable-ideal-ENS-input-replacement	Reducing inputs modulo genuine domain/column equations lets the new family derive each old companion through its original degree, preserving complete NS/PC proofs
cor:binary-reduced-input-Booleanity	Over F2, stable input reduction retains sharp earlier NS Booleanity and can be used with the existing span passes
thm:reduced-product-Booleanity-PC-NS-gap	For one monomial-input block over a consistent odd-field domain base, the reduced product has NS Booleanity degree e+h and PC degree max(e,2(h+t))
ex:input-replacement-certificates	Exact local reductions preserve nonzero original targets and confirm the reduced-product degree gap
thm:PHP-reduced-product-Booleanity-gap	A single matching-monomial ENS block over full weak PHP has exact NS Booleanity degree e+h and PC degree max(e,2(h+t)) when n-t>=2(e+h)-3
cor:PHP-logarithmic-accuracy-Booleanity-gap	For a two-cell matching and h>=2, n>=8h+3 suffices for a reduced value of degree h+2 with PC Booleanity 3h+2 and NS Booleanity 4h+2
lem:nonsharp-Boolean-packing-ledgers	Explicit NS witness costs give N_i=max(s_j+W-d_j), while PC reuse gives max(C,e_i) for the same affine-bin map
lem:Boolean-product-surplus-order	Ordering factors by increasing NS Booleanity surplus minimizes the displayed product-certificate bound; earlier sharp factors can absorb later surplus
thm:uniform-PC-Booleanity-normal-form	With input degrees <=L and earlier PC Booleanity <=C>=2L, stable reduction and level-ordered packing/sharing preserve witness ceiling C and proof ceiling max(D,C)
cor:reduced-PC-source-endpoint	The new PHP endpoint admits stable input normal forms and affine-bin/span cleanup at the same (c+2d)L degree and polynomial family count over every prime
ex:nonsharp-upper-block-budget	The reduced-product gap can exceed an upper accuracy-one NS image budget while fitting PC; equal lower/upper accuracy gives NS slack a^2
cor:uniform-PC-ideal-cover-ledger	Degree-controlled polynomial ideal decompositions with supplied earlier PC witnesses fit the common-ceiling image budget max(C,e_i)
thm:stable-ideal-normalizer-test	Zero normal forms of all affine companion images supply same-degree NS/PC transfer and sharp selector Booleanity over a proper stable ideal
lem:stable-ideal-affine-feasibility	Using one affine coefficient row is an exact shared linear system with tuple-of-functional duals, for arbitrary input degree and every prime
ex:noncommon-factor-domain-cover	A rank-(2m+1) quadratic tuple with gcd one and no affine span direction has accuracy-one companion certificates through four
obs:row-difference-stable-factor-count	Proper-ideal affine row-difference normalizers require n<=2h, or 2n<=3h in odd characteristic; full PHP instead allows accuracy one
ex:stable-ideal-normalizer-certificates	Exact primal/dual systems separate one-row feasibility from multiple-row and row-equation normalizers
thm:ternary-triple-affine-normalizer	Three independent column differences admit a universal integer two-row affine normalizer with every companion image certified through its original degree five
thm:ternary-coefficient-degree-frontier	For coefficient degree T over the proper column ideal, the exact row count is ceil(2n/(2T+1)) in odd characteristic and ceil(n/(T+1)) in characteristic two
ex:ternary-triple-rational-cover	Exact state partitions yield a short integer normalizer and full modular certificates
thm:heterogeneous-scalar-profile-frontier	For N independent encoded scalar profiles and coefficient degree T, h rows suffice exactly when the max(0,N-hT) smallest nonzero alphabet sizes sum to at most h
cor:scalar-profile-encoding-cost	Equal encoded alphabets have row count ceil(kN/(kT+1)); native scalar coordinates instead require ceil(sum(k_j)/(T+1))
obs:vector-selector-degree-vs-factors	The F7 zero-plus-circle profile has polynomial zero-selector degree two, constant factor count four, and an affine old-coefficient one-row normalizer
cor:weighted-column-full-row-cover	If each column probe is nonzero on a fixed pigeon row, one affine coefficient row gives NS companion images through degree three
ex:categorical-frontier-image-certificates	Higher-alphabet sharing, unequal alphabets, and native-field controls verify actual image budgets and complete source states
thm:affine-column-occupancy-freezing	For K=-1 mod p, a matching prefix, K board copies, and one complementary row freeze all original column sums while mapping the weak base to F_N through original degree, N=floor(n/K)-1
thm:column-statistic-ENS-elimination	Any finite ENS family with inputs polynomial in column sums and earlier package coefficients disappears at the same NS/PC degree, leaving a linear-size residual board for fixed p
cor:column-statistic-joint-designs	Residual ordinary or PC-annihilating designs pull back to joint designs for the statistic-dependent augmented system below the residual lower bound
cor:column-freezing-partial-packages	Eligible coefficient-dependency packages can be removed while other blocks remain genuine transformed ENS blocks; proper-normal-form column symmetry identifies literal statistic dependence
ex:column-freezing-base-and-ENS-images	Four full weak-base projections verify all original image budgets and multilevel constant collapse
thm:dense-occupied-column-elimination	Occupied witness density epsilon admits simultaneous matching normalization when q<=epsilon*n/4 and M_o(1-epsilon/2)^q<1, leaving n-q holes at the same NS/PC degree
thm:dense-empty-column-elimination	Empty witness density eta admits a K-column freezing normalizer when K=-1 mod p, n>=2K, and M_e(1-eta)^K<1
cor:mixed-dense-column-elimination	A matching followed by one freezing map eliminates mixed dense witness families; fixed densities and polynomial counts leave Omega(n/log n) holes
ex:dense-column-mixed-fixture	Four mixed-family blocks with nonconstant extras disappear under an explicit map from 24 holes to three
thm:Hall-profile-affine-normalizer	If r<=h pigeon rows have common-zero column profiles confined to fewer than r columns, r affine coefficient rows give a base-zero product through W<=r(delta+1)
cor:sparse-Hall-column-families	Probes on r selected rows outside r-1 exceptional columns have vanishing global occupied density but admit accuracy-r original-board normalization
ex:Hall-profile-image-certificates	Three prime-field Hall normalizers verify row, telescoping, collision, companion, and field identities, with row-omission and matching controls
thm:occupancy-probe-NS-PC-degrees	Weak PHP plus all-but-one-column occupancy equations has exact PC degree two; NS degree is two if p does not divide n and three if p divides n, for n>=3
cor:occupancy-one-row-base-zero-feasibility	Affine coefficients give a degree-two NS/PC base-zero factor for the occupancy tuple exactly when p does not divide n; then its one-row companion images fit degree three
ex:occupancy-probe-degree-certificates	Exact upper traces and second-moment designs verify the characteristic-dependent degree split
thm:occupancy-affine-accuracy-frontier	All-but-one-column occupancy tuples need exactly two affine ENS rows when p divides n on the stated large boards, and one when p does not divide n
lem:quadratic-occupancy-slice-reconstruction	At a target with n-1 ones and p dividing n, degree-two evaluation reconstructs from the p-1 slice in odd characteristic, or the singleton/triple slices in F2
ex:occupancy-affine-slice-checks	Six parameter cases verify every ordinary quadratic monomial and the required residual-board thresholds
thm:partition-statistic-ENS-elimination	Packages polynomial in class-column statistics of a common pigeon partition and earlier package coefficients disappear at the same NS/PC degree; largest class s leaves floor((s-1)/(p-1))-1 holes
cor:partition-statistic-coverage-parameters	B common pigeon classes give Omega(n/B) residual holes for fixed p; B(n)D(n)=o(n) suffices for a contradiction under the package hypothesis
obs:binary-label-common-partition	Logarithmically many sharp Boolean partial-column indicators can force every common statistic partition to have singleton classes
thm:partition-statistic-freezing-capacity	Any affine map with original base images and common-partition statistic-constant equalities in residual C2, N>=3, satisfies N<=2(s-p) for largest class size s
lem:partition-freezing-integer-counts	Degree-two constant proofs force disjoint Boolean class occupancies, class counts k_t=m_t mod p, and at least p-1 unassigned columns
lem:completed-affine-capacity-PC-bound	k+1 completed affine row relations and their column collisions at PC degree two give a refutation through max(2,k+1)
thm:column-dependent-copy-freezing	Permuting copy labels independently for each residual row and column preserves all original-degree weak-PHP base images and freezes compatible column-specific partitions
cor:column-dependent-statistic-packages	Compatible local-statistic packages collapse at the same NS/PC degree and witness ceilings, without family-count, accuracy, or level cost
ex:column-dependent-discrete-refinement	Column-specific two-class partitions can freeze while their global common refinement consists of singletons, with a linear-size residual for fixed p
ex:column-dependent-image-certificates	Three shifted-copy maps verify every base image, local statistic, and full-inventory ENS companion/field image
thm:majority-profile-copy-layout	A distinguished-pigeon profile graph with minimum degree (1/2+epsilon)n on both sides admits a compatible K-copy layout under the stated size and exact union-bound conditions
lem:majority-grouping-tail	Sampling a K-subset from a population with bad fraction at most (1-epsilon)/2 has majority-failure probability at most (1-epsilon^2)^(K/2)
